stock,week,metric,value
8382.0,week_38,sMAPE,176.99664722773812
8382.0,week_38,QLIKE,15.029894131154744
9323.0,week_1,R2,-7.270631746715271
9323.0,week_1,MSE,1.9005557264235712e-07
9323.0,week_1,RMSE,0.0004359536358861
9323.0,week_1,MedAE,0.0003748528020622
9323.0,week_1,MAPE,96.59086418047912
9323.0,week_1,sMAPE,186.8584868931225
9323.0,week_1,QLIKE,28.47419101390864
9323.0,week_2,R2,-5.5647522483999605
9323.0,week_2,MSE,1.148925127729787e-07
9323.0,week_2,RMSE,0.0003389579808368
9323.0,week_2,MedAE,0.0002803816532064
9323.0,week_2,MAPE,93.97598693346453
9323.0,week_2,sMAPE,177.42974714275974
9323.0,week_2,QLIKE,15.066390249628885
9323.0,week_3,R2,-4.726617230634404
9323.0,week_3,MSE,2.162816401826961e-07
9323.0,week_3,RMSE,0.0004650608994343
9323.0,week_3,MedAE,0.0003607094603441
9323.0,week_3,MAPE,94.92280206507073
9323.0,week_3,sMAPE,180.80460348242283
9323.0,week_3,QLIKE,19.10229985840747
9323.0,week_4,R2,-3.583682038149294
9323.0,week_4,MSE,1.4925574587554034e-07
9323.0,week_4,RMSE,0.000386336311878
9323.0,week_4,MedAE,0.0002909954169942
9323.0,week_4,MAPE,90.83920950383316
9323.0,week_4,sMAPE,166.9186232366419
9323.0,week_4,QLIKE,9.823306940936124
9323.0,week_5,R2,-4.712175876989753
9323.0,week_5,MSE,8.571128809631878e-08
9323.0,week_5,RMSE,0.0002927649024325
9323.0,week_5,MedAE,0.0002382357380428
9323.0,week_5,MAPE,inf
9323.0,week_5,sMAPE,183.6926893814912
9323.0,week_5,QLIKE,23.650842696402464
9323.0,week_6,R2,-3.252255620040496
9323.0,week_6,MSE,2.1083711355023198e-07
9323.0,week_6,RMSE,0.0004591700268421
9323.0,week_6,MedAE,0.000333436758298
9323.0,week_6,MAPE,96.4275384921828
9323.0,week_6,sMAPE,186.3158569753534
9323.0,week_6,QLIKE,31.56408351639965
9323.0,week_7,R2,-4.491117078499483
9323.0,week_7,MSE,2.898048693832392e-07
9323.0,week_7,RMSE,0.0005383352759974
9323.0,week_7,MedAE,0.0004313034858539
9323.0,week_7,MAPE,92.78368787546496
9323.0,week_7,sMAPE,173.35402487394842
9323.0,week_7,QLIKE,12.4819686691667
9323.0,week_8,R2,-9.132220519368976
9323.0,week_8,MSE,4.188761045129714e-07
9323.0,week_8,RMSE,0.00064720638479
9323.0,week_8,MedAE,0.0005794333175614
9323.0,week_8,MAPE,96.18951852712732
9323.0,week_8,sMAPE,185.36930753739512
9323.0,week_8,QLIKE,24.60880435522532
9323.0,week_9,R2,-7.367499558321219
9323.0,week_9,MSE,4.008382130061297e-07
9323.0,week_9,RMSE,0.0006331178508035
9323.0,week_9,MedAE,0.0005475303754213
9323.0,week_9,MAPE,94.00158003080288
9323.0,week_9,sMAPE,177.48242551777233
9323.0,week_9,QLIKE,14.611027914130831
9323.0,week_10,R2,-4.076461556542161
9323.0,week_10,MSE,3.041033505683038e-07
9323.0,week_10,RMSE,0.0005514556650976
9323.0,week_10,MedAE,0.000449374743206
9323.0,week_10,MAPE,96.22019392367191
9323.0,week_10,sMAPE,185.5203480946149
9323.0,week_10,QLIKE,27.234001192071347
9323.0,week_11,R2,-8.814148717570937
9323.0,week_11,MSE,1.9999310162141884e-07
9323.0,week_11,RMSE,0.0004472058828117
9323.0,week_11,MedAE,0.0003967676791031
9323.0,week_11,MAPE,94.27867781801702
9323.0,week_11,sMAPE,178.4520519072513
9323.0,week_11,QLIKE,15.354458549131778
9323.0,week_12,R2,-5.215302569251372
9323.0,week_12,MSE,1.4345270241573397e-07
9323.0,week_12,RMSE,0.0003787515048362
9323.0,week_12,MedAE,0.000325999082688
9323.0,week_12,MAPE,95.10192698643732
9323.0,week_12,sMAPE,181.61674876906503
9323.0,week_12,QLIKE,20.42486977407682
9323.0,week_13,R2,-4.318328710112348
9323.0,week_13,MSE,8.02481697575135e-08
9323.0,week_13,RMSE,0.0002832810790672
9323.0,week_13,MedAE,0.0002272223053468
9323.0,week_13,MAPE,inf
9323.0,week_13,sMAPE,176.51747821187377
9323.0,week_13,QLIKE,14.904038883332776
9323.0,week_14,R2,-6.631797326651985
9323.0,week_14,MSE,1.0108777243925209e-07
9323.0,week_14,RMSE,0.0003179430333239
9323.0,week_14,MedAE,0.0002806437192089
9323.0,week_14,MAPE,inf
9323.0,week_14,sMAPE,177.20206375250814
9323.0,week_14,QLIKE,14.631161294070994
9323.0,week_15,R2,-4.430913901881949
9323.0,week_15,MSE,2.099670979168815e-07
9323.0,week_15,RMSE,0.0004582216689735
9323.0,week_15,MedAE,0.0003776527480328
9323.0,week_15,MAPE,97.53542805771572
9323.0,week_15,sMAPE,190.4313835373636
9323.0,week_15,QLIKE,45.38001742578821
9323.0,week_16,R2,-3.9576549280444873
9323.0,week_16,MSE,2.427940598632783e-07
9323.0,week_16,RMSE,0.0004927413721855
9323.0,week_16,MedAE,0.0003892223601014
9323.0,week_16,MAPE,95.9378221827863
9323.0,week_16,sMAPE,184.4993401366132
9323.0,week_16,QLIKE,25.520713713010643
9323.0,week_17,R2,-5.715994030700385
9323.0,week_17,MSE,1.8986373720983842e-07
9323.0,week_17,RMSE,0.0004357335621797
9323.0,week_17,MedAE,0.0003698825165267
9323.0,week_17,MAPE,95.31102907497232
9323.0,week_17,sMAPE,182.18388974637472
9323.0,week_17,QLIKE,20.235329800258263
9323.0,week_18,R2,-12.667695601325898
9323.0,week_18,MSE,2.5319025291584344e-07
9323.0,week_18,RMSE,0.0005031801396277
9323.0,week_18,MedAE,0.0004686967373239
9323.0,week_18,MAPE,95.36804517945508
9323.0,week_18,sMAPE,182.3429877276353
9323.0,week_18,QLIKE,19.080781255269407
9323.0,week_19,R2,-6.589355354854782
9323.0,week_19,MSE,8.701896425505142e-08
9323.0,week_19,RMSE,0.0002949897697464
9323.0,week_19,MedAE,0.0002588968932766
9323.0,week_19,MAPE,inf
9323.0,week_19,sMAPE,181.27405225983244
9323.0,week_19,QLIKE,19.348121187536183
9323.0,week_20,R2,-3.7056445390565314
9323.0,week_20,MSE,6.904472795675317e-08
9323.0,week_20,RMSE,0.000262763635149
9323.0,week_20,MedAE,0.0002143075044057
9323.0,week_20,MAPE,inf
9323.0,week_20,sMAPE,183.3236971496522
9323.0,week_20,QLIKE,22.86162461760443
9323.0,week_21,R2,-3.941431967927058
9323.0,week_21,MSE,4.8092843449727874e-08
9323.0,week_21,RMSE,0.0002193008058574
9323.0,week_21,MedAE,0.0001803974562503
9323.0,week_21,MAPE,inf
9323.0,week_21,sMAPE,182.85416086727764
9323.0,week_21,QLIKE,22.32396253595543
9323.0,week_22,R2,-2.711253676910565
9323.0,week_22,MSE,4.21585640920786e-08
9323.0,week_22,RMSE,0.0002053255076508
9323.0,week_22,MedAE,0.0001644830084397
9323.0,week_22,MAPE,inf
9323.0,week_22,sMAPE,177.5665333271196
9323.0,week_22,QLIKE,15.469352247964723
9323.0,week_23,R2,-4.354797725866384
